Food Name,Food Group,Food Sub Group,Per Serving,Energy (kcal),Protein (g),Total Fat (g),Carbo (g),Dietary Fibre (g),Calcium (mg),Sugar (g)
Teh C kosong,BEVERAGES,Non-alcoholic beverages,Cup (100g),26,1.1,1.4,2.2,0.6,29.1,2.2
Thai green milk tea,BEVERAGES,Non-alcoholic beverages,Cup (517g),237.82,2.59,7.81,39.29,1.03,84.79,39.29
Thai milk tea,BEVERAGES,Non-alcoholic beverages,Cup (527g),300.39,2.64,10.38,49.54,1.58,81.16,49.54
Tonic water,BEVERAGES,Non-alcoholic beverages,Can (330g),112.79,0,0,29.04,0,3.3,29.04
Tropical juice drink,BEVERAGES,Non-alcoholic beverages,Cup (261g),93.05,0,0,23.49,0.26,10.44,23.49
Water chestnut drink,BEVERAGES,Non-alcoholic beverages,Bottle (500g),145,0,0,36,0,11.8,36
"Water, mineral, natural, unflavoured",BEVERAGES,Non-alcoholic beverages,Can (330g),0,0,0,0,0,19.8,0
"Water, plain",BEVERAGES,Non-alcoholic beverages,Cup (250g),0,0,0,0,0,0,0
Wheatgrass drink,BEVERAGES,Non-alcoholic beverages,Packet (250g),85,0.25,0,21,0,2.2,21
"Biscuit, alphabet",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Cup (70g),301.65,4.55,6.51,56.28,1.47,4.2,16.8
"Biscuit, chocolate",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (21g),96.37,1.6,2.9,15.98,0.4,5.04,5.86
"Biscuit, chocolate chip",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (11g),54.45,0.69,2.64,7.07,0.21,5.83,3.09
"Biscuit, chocolate flavour, sandwiched with cream filling",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (14g),65.38,0.8,3.14,8.65,0.21,7.28,4.31
"Biscuit, chocolate-coated",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (14g),66.08,0.91,3.36,8.19,0.2,9.38,3.86
"Biscuit, chocolate-coated, cream filled",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (16g),79.52,0.94,4.48,9.2,0.1,21.6,6.22
"Biscuit, coconut",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Whole (10g),56.31,2.15,3.8,3.37,0.87,2.5,2.04
"Biscuit, cream cracker (old)",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (9g),38.61,0.8,1.16,6.53,0.55,0.63,0
"Biscuit, finger cream",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (11.2g),52.31,0.55,1.78,8.52,0.17,2.35,4.18
"Biscuit, flavoured",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (2.5g),12.43,0.24,0.6,1.48,0.09,1.83,0.11
"Biscuit, green gram",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (22g),80.76,0.48,0.04,19.6,0.16,3.74,
"Biscuit, iced",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (3g),12.54,0.16,0.38,2.14,0.05,0.81,1.21
"Biscuit, lemon puff",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (12g),54.72,0.5,2.06,8.52,0.13,1.68,3.72
"Biscuit, marie",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (7g),30.87,0.5,0.78,5.46,0.14,0.42,1.67
"Biscuit, oatmeal",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (10g),46.7,0.57,2.14,6.32,0.25,5.6,3.09
"Biscuit, ovaltine",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Whole (7.6g),36.57,0.6,1.4,5.4,0.4,13.53,1
"Biscuit, peanuts and coconut",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (21g),94.5,1.97,3.3,14.24,0.5,2.73,6.32
"Biscuit, rice cracker",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Slice (12.5g),49.63,0.95,0.43,10.2,0.28,,0.23
"Biscuit, sandwiched with peanut butter filling",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (12g),58.44,1.28,3.1,6.38,0.23,12.6,2.51
"Biscuit, savoury, cheese-flavoured",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (2.2g),10.74,0.28,0.49,1.27,0.07,2.88,0.07
"Biscuit, savoury, plain",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Whole (5g),20.3,0.5,0.47,3.43,0.14,2.35,0.11
"Biscuit, savoury, salada style",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (15g),62.1,1.29,2.04,9.3,0.54,3,0.06
"Biscuit, savoury, wholemeal",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (20g),83.6,2.22,2.52,12.12,1.6,7.4,0.1
"Biscuit, soda (old)",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (8g),32.64,0.7,0.73,5.86,0.22,1.76,0.18
"Biscuit, sultana",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (7g),29.4,0.44,0.58,5.61,0.08,0.91,
"Biscuit, sweet, ginger flavoured",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (10g),42.3,0.53,1.32,7.11,0.19,8.7,3.31
"Biscuit, sweet, wheatmeal",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (10g),46,0.76,1.71,6.7,0.56,3,2.16
"Biscuit, wafer",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Cube/Square (4g),20.28,0.24,1.13,2.3,0.14,3.6,1.23
"Biscuit, with cream filling",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (10g),49.9,0.69,2.33,6.52,0.12,2.5,2.35
"Biscuits, high calcium",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Packet (27g),136.08,1.84,6.45,17.66,0.59,82.89,2.3
Butter cookies,CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (6g),30.42,0.35,1.49,3.9,0.08,1.14,1.51
Cashew nut cookies,CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (12g),62.04,0.94,3.16,7.49,0.22,3.12,1.43
Chocolate chip cookie,CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (20g),88.8,1.1,4.38,11.22,0.56,8,8.52
"Cookie, cornflake",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (7g),37.31,0.46,2.22,3.87,0.15,1.89,
"Cookie, peanut",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (10g),50.91,0.62,2.5,6.47,0.24,1.1,
"Cookie, peanut butter filling, regular",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (14g),66.92,1.23,2.95,9.18,0.27,7.42,
"Cookie, sesame seed",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (5g),21.15,0.43,0.43,3.91,0.14,0.55,1.73
"Cracker, high fat, small, round biscuit sprinkled with salt",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (14g),68.16,1.06,3.33,8.5,0.48,8.4,0.67
"Cracker, with cheese filling",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Whole (7g),33.39,0.65,1.48,4.32,0.13,17.99,
"Cream cracker, plain",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (9g),40.35,0.83,1.83,5.16,0.23,2.16,0.19
"Cream cracker, sugared",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (8g),35.2,0.64,0.96,6.08,,0,1.28
"Cream cracker, wholemeal",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (7.71g),37.55,0.67,2.08,4.04,0.31,1.7,0.15
Digestive biscuit,CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (10g),48.8,0.6,2.11,6.87,0.37,4.3,1.82
"Ice cream cones, cake or wafer type",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (4g),16.68,0.32,0.28,3.04,0.12,1,0.24
Plain crackers,CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),1 portion (28g),127.12,2.66,4.79,18.37,0.48,6.44,1.62
Pretzels,CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Stick (12g),45.3,1.4,0.86,7.75,0.24,2.88,0.05
"Wafer, chocolate",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (14g),70,0.71,3.18,9.65,0.23,10.5,5.61
"Bagel, plain",CEREAL AND CEREAL PRODUCTS,Breads and rolls,1 portion (120g),330,12.6,1.92,64.08,2.76,88.8,0
Beef banh mi,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (224g),425.6,29.34,14.4,44.8,2.69,54.21,3.58
"Bread roll, white",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (90g),261.17,9.18,3.42,46.44,3.15,69.3,3.06
"Bread roll, white, soft",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Piece (51g),136.68,4.59,2.14,26.32,1.99,61.2,1.12
"Bread roll, wholemeal",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (90g),229.95,9,2.61,39.6,5.13,78.3,2.61
"Bread, brown",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (28g),67.52,2.72,0.7,11.73,1.4,16.52,0.42
"Bread, brown, toasted",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (23g),66.08,2.67,0.69,11.48,1.38,16.33,0.41
"Bread, butterscotch-flavoured",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (38g),125.4,3.61,3.65,19.57,0.57,33.44,5.09
"Bread, chocolate chip",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (38g),118.94,3,2.55,20.9,1.48,34.2,1.03
"Bread, coconut",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (45g),233.07,6.17,13.5,21.78,2.59,12.6,
"Bread, french",CEREAL AND CEREAL PRODUCTS,Breads and rolls,1 portion (136g),393.04,16.05,2.45,76.7,3.26,59.84,3.54
"Bread, garlic",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (70g),218.4,6.02,8.54,28.21,2.31,72.1,2.45
"Bread, oat bran",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (30g),70.8,3.12,1.32,11.94,1.35,19.5,
"Bread, pita",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (small) (28g),77,2.55,0.34,15.6,0.62,24.08,0.36
"Bread, raisin",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (33g),88.42,2.67,1.25,16.2,0.89,14.52,4.82
"Bread, rolls",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (43g),133.3,4.69,2.8,22.36,0.86,76.54,2.41
"Bread, ryemeal",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Cube/Square (30g),77.37,3.15,0.45,15.12,0.12,15.6,0.6
"Bread, white",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (336g),860.08,32.59,3.36,174.72,9.07,134.4,7.39
"Bread, white, aerated, high protein",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (21g),53.55,2.92,0.61,8.95,0.78,14.07,0.13
"Bread, white, fibre increased",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (30g),72.42,2.88,0.81,12.51,1.41,23.4,0.51
"Bread, white, fibre increased, toasted",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (23g),66.91,2.65,0.76,11.55,1.31,21.62,0.48
"Bread, white, from bakery shop",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (30g),83.7,2.58,1.47,15.03,0.72,16.2,0.93
"Bread, white, protein increased",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (28g),68.53,2.63,0.64,12.49,0.76,24.08,0.48
"Bread, white, protein increased, toasted",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (23g),67.02,2.58,0.62,12.21,0.74,23.46,0.46
"Bread, white, toasted",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (23g),68.34,2.09,0.74,12.81,0.78,28.75,0.97
"Bread, whitemeal, enriched",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (28g),72.24,2.86,0.42,14.22,0.9,50.68,1.04
"Bread, wholemeal, enriched",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (31g),74.09,3.78,0.56,11.56,1.77,61.07,0.74
"Bread, wholemeal, fibre increased",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (30g),73.57,3.48,1.02,11.4,2.19,14.4,0.84
"Bread, wholemeal, fibre increased, toasted",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (25g),72.97,3.45,1,11.33,2.18,22.25,0.85
"Bread, wholemeal, toasted",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (25g),70.7,2.63,0.9,12,1.9,26.75,0.88
"Bread, with banana and walnut",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (40g),124.8,4.72,2.48,21.96,1.16,15.36,6.52
"Breadcrumb, commercial",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Cup (90g),322.75,11.25,3.24,59.58,3.69,57.6,3.96
"Bun, steamed",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (50.44g),104.92,3.13,0.61,21.79,0.5,29.26,9.18
Butter roll,CEREAL AND CEREAL PRODUCTS,Breads and rolls,1 portion (28g),88.76,2.32,2.24,14.84,0.81,51.8,1.65
Butter sugar roll,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (65g),200.85,5.59,5.07,33.35,1.56,144.95,3.71
Cheese and ham bun,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Piece (85g),250.75,9.86,9.95,30.6,3.4,75.65,7.06
Chicken banh mi,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (212g),392.2,19.93,19.61,33.92,4.45,50.46,3.82
Chocolate cream roll,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (65g),193.05,5.59,4.68,32.18,1.69,148.85,22.82
Coffee bun,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Piece (90g),355.5,8.1,18.18,39.87,0.9,48.78,15.66
Corn bread,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (40g),94,3.8,0.88,18.6,0.88,45.25,
"Croutons, plain",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Cup (30g),122.1,3.57,1.98,20.52,1.53,22.8,
"French toast, frozen",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Piece (59g),125.67,4.37,3.6,18.94,0.65,63.13,0
"French toast, made with low fat (2%) milk",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (65g),148.85,5.01,7.02,16.25,0,65,0
"Frozen prata, cooked",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (58g),197.2,4.52,9.11,24.3,1.45,11.6,4.29
"Pandan bread, enriched",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (28g),74.76,3.39,0.9,13.27,0.9,68.32,0.66
"Pizza, ham and pineapple, frozen, baked",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (medium) (200g),526.8,26.6,22.4,51.8,5.2,294,3.4
"Pizza, tomato and cheese",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (58g),157.18,3.25,3.25,30.74,2.2,6.96,7.54
Pork banh mi,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (208g),436.8,24.13,22.11,35.36,2.29,49.5,4.58
"Softmeal bread, enriched",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (28.5g),72.39,2.42,0.66,13.91,1.11,49.31,1.03
Swiss roll,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (56g),202.16,4.09,11.82,19.94,0.84,20.33,11.31
3-in-1 cereal,CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Sachet (30g),89.1,2.37,3.03,13.11,1.17,73.2,5.91
4 in 1 brown rice cereal,CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Sachet (30g),126,1.5,2.49,24.99,1.11,158.01,8.91
"Breakfast cereal, flavoured, contains whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),100.2,1.92,1.67,19.38,1.35,68.4,11.52
"Breakfast cereal, flavoured, not whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),95.7,1.86,0.69,20.52,0.54,15.6,8.82
"Breakfast cereal, mixed, contains whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),96.6,2.61,1.79,17.55,1.98,10.5,6.84
"Breakfast cereal, mixed, not whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),112.2,2.22,1.59,22.26,0.93,7.5,6.78
"Breakfast cereal, plain, contains whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),95.4,2.25,0.93,19.47,1.74,121.2,6.39
"Breakfast cereal, plain, not whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),92.7,2.07,0.3,20.46,0.66,44.1,2.4
"Cereal, puffed rice with cocoa coating",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Cup (45g),165.9,2.12,0.68,38.12,0.27,119.25,18.14
